#ID	x0	y0		x1	y1
252	746 0 		696 87 
253	696 87 		596 87 
254	373 473 		423 560 
255	423 560 		373 646 
256	373 646 		273 646 
257	273 646 		223 560 
258	-223 560 		-273 646 
259	-273 646 		-373 646 
260	-373 646 		-423 560 
261	-423 560 		-373 473 
262	-596 87 		-696 87 
263	-696 87 		-746 0 
264	-746 0 		-696 -87 
265	-696 -87 		-596 -87 
266	-373 -473 		-423 -560 
267	-423 -560 		-373 -646 
268	-373 -646 		-273 -646 
269	-273 -646 		-223 -560 
270	546 -373 		596 -460 
271	596 -460 		696 -460 
272	696 -460 		746 -373 
273	746 -373 		696 -287 
274	696 -287 		596 -287 
275	596 287 		696 287 
276	696 287 		746 373 
277	746 373 		696 460 
278	696 460 		596 460 
279	596 460 		546 373 
280	50 660 		100 746 
281	100 746 		50 833 
282	50 833 		-50 833 
283	-50 833 		-100 746 
284	-100 746 		-50 660 
285	-546 373 		-596 460 
286	-596 460 		-696 460 
287	-696 460 		-746 373 
288	-746 373 		-696 287 
289	-696 287 		-596 287 
290	-596 -287 		-696 -287 
291	-696 -287 		-746 -373 
292	-746 -373 		-696 -460 
293	-696 -460 		-596 -460 
294	-596 -460 		-546 -373 
295	-50 -660 		-100 -746 
296	-100 -746 		-50 -833 
297	-50 -833 		50 -833 
298	50 -833 		100 -746 
299	100 -746 		50 -660 
300	373 -373 		460 -323 
301	510 137 		510 237 
302	137 510 		50 560 
303	-373 373 		-460 323 
304	-510 -137 		-510 -237 
305	-137 -510 		-50 -560 
306	373 -373 		460 -423 
307	460 -423 		460 -323 
308	510 137 		596 187 
309	596 187 		510 237 
310	137 510 		137 610 
311	137 610 		50 560 
312	-373 373 		-460 423 
313	-460 423 		-460 323 
314	-510 -137 		-596 -187 
315	-596 -187 		-510 -237 
316	-137 -510 		-137 -610 
317	-137 -610 		-50 -560 
318	510 -237 		510 -137 
319	460 323 		373 373 
320	-50 560 		-137 510 
321	-510 237 		-510 137 
322	-460 -323 		-373 -373 
323	50 -560 		137 -510 
324	510 -237 		596 -187 
325	596 -187 		510 -137 
326	460 323 		460 423 
327	460 423 		373 373 
328	-50 560 		-137 610 
329	-137 610 		-137 510 
330	-510 237 		-596 187 
331	-596 187 		-510 137 
332	-460 -323 		-460 -423 
333	-460 -423 		-373 -373 
334	50 -560 		137 -610 
335	137 -610 		137 -510 
336	460 -423 		546 -373 
337	596 -287 		596 -187 
338	596 187 		596 287 
339	546 373 		460 423 
340	137 610 		50 660 
341	-50 660 		-137 610 
342	-460 423 		-546 373 
343	-596 287 		-596 187 
344	-596 -187 		-596 -287 
345	-546 -373 		-460 -423 
346	-137 -610 		-50 -660 
347	50 -660 		137 -610 
348	373 -473 		460 -423 
349	596 87 		596 187 
350	223 560 		137 610 
351	-373 473 		-460 423 
352	-596 -87 		-596 -187 
353	-223 -560 		-137 -610 
354	596 -187 		596 -87 
355	460 423 		373 473 
356	-137 610 		-223 560 
357	-596 187 		-596 87 
358	-460 -423 		-373 -473 
359	137 -610 		223 -560 
360	137 -610 		187 -696 
361	187 -696 		273 -646 
362	423 -560 		510 -510 
363	510 -510 		460 -423 
364	596 -187 		696 -187 
365	696 -187 		696 -87 
366	696 87 		696 187 
367	696 187 		596 187 
368	460 423 		510 510 
369	510 510 		423 560 
370	273 646 		187 696 
371	187 696 		137 610 
372	-137 610 		-187 696 
373	-187 696 		-273 646 
374	-423 560 		-510 510 
375	-510 510 		-460 423 
376	-596 187 		-696 187 
377	-696 187 		-696 87 
378	-696 -87 		-696 -187 
379	-696 -187 		-596 -187 
380	-460 -423 		-510 -510 
381	-510 -510 		-423 -560 
382	-273 -646 		-187 -696 
383	-187 -696 		-137 -610 
384	510 -510 		596 -460 
385	696 -287 		696 -187 
386	696 187 		696 287 
387	596 460 		510 510 
388	187 696 		100 746 
389	-100 746 		-187 696 
390	-510 510 		-596 460 
391	-696 287 		-696 187 
392	-696 -187 		-696 -287 
393	-596 -460 		-510 -510 
394	-187 -696 		-100 -746 
395	100 -746 		187 -696 
