(0, 3) --> (1, 3)
(0, 3) --> (0, 2)
(0, 2) --> (1, 2)
(1, 2) --> (1, 1)
(1, 1) --> (2, 1)
(2, 1) --> (2, 0)
(2, 0) --> (3, 0)
(3, 0) --> (3, 1)
(3, 1) --> (3, 2)
(3, 2) --> (3, 3)
(3, 3) --> (4, 3)
(4, 3) --> (5, 3)
(5, 3) --> (5, 2)
(5, 2) --> (4, 2)
(4, 2) --> (4, 1)
(4, 1) --> (5, 1)
(5, 1) --> (6, 1)
(6, 1) --> (6, 2)
(6, 2) --> (6, 3)
(6, 3) --> (6, 4)
(6, 4) --> (6, 5)
(6, 5) --> (6, 6)
(6, 6) --> (6, 7)
(6, 7) --> (5, 7)
(5, 7) --> (5, 6)
(5, 6) --> (5, 5)
(5, 5) --> (4, 5)
(4, 5) --> (3, 5)
(3, 5) --> (2, 5)
(2, 5) --> (2, 6)
(2, 6) --> (3, 6)
(3, 6) --> (4, 6)
(4, 6) --> (4, 7)
(4, 7) --> (4, 8)
(4, 8) --> (5, 8)
(5, 8) --> (5, 9)
(5, 9) --> (5, 10)
(5, 10) --> (5, 11)
(5, 11) --> (4, 11)
(4, 11) --> (4, 10)
(4, 10) --> (3, 10)
(3, 10) --> (3, 9)
(3, 9) --> (3, 8)
(3, 8) --> (3, 7)
(3, 7) --> (2, 7)
(2, 7) --> (2, 8)
(2, 8) --> (2, 9)
(2, 9) --> (2, 10)
(2, 10) --> (2, 11)
(2, 11) --> (3, 11)
(3, 11) --> (3, 12)
(3, 12) --> (2, 12)
(2, 12) --> (1, 12)
(1, 12) --> (1, 11)
(1, 11) --> (1, 10)
(1, 10) --> (1, 9)
(1, 9) --> (0, 9)
(0, 9) --> (0, 8)
(0, 8) --> (0, 7)
(0, 7) --> (0, 6)
(0, 6) --> (0, 5)
(0, 5) --> (0, 4)
(0, 4) --> (1, 4)
(1, 4) --> (1, 3)
